"","Month","Year","Area","SpeciesName","TotalSpeciesWeight","SpeciesBiomass"
"1","April",1996,"Shark","Ameiurus natalis",6.842219855,0.97745998
"2","December",1996,"Shark","Ameiurus natalis",0.36896636,0.05270948
"3","February",1996,"Shark","Ameiurus natalis",7.881396435,1.125913775
"4","July",1996,"Shark","Ameiurus natalis",0.434641885,0.0620916975
"5","October",1996,"Shark","Ameiurus natalis",0.566804396666667,0.0809720566666667
"6","December",1997,"Shark","Ameiurus natalis",0.09224129,0.01317733
"7","February",1997,"Shark","Ameiurus natalis",0.950422876666667,0.135774696666667
"8","July",1997,"Shark","Ameiurus natalis",0.9198786325,0.1314112325
"9","October",1997,"Shark","Ameiurus natalis",1.2682965625,0.181185225
"10","April",1998,"Shark","Ameiurus natalis",2.67551476,0.382216396666667
"11","February",1998,"Shark","Ameiurus natalis",14.8013101,2.11447287
"12","July",1998,"Shark","Ameiurus natalis",0.50062077,0.07151725
"13","April",1999,"Shark","Ameiurus natalis",53.10452076,7.58636011
"14","December",1999,"Shark","Ameiurus natalis",0.167068505,0.02386693
"15","July",1999,"Shark","Ameiurus natalis",0.62669228,0.08952747
"16","October",1999,"Shark","Ameiurus natalis",0.27845678,0.03977954
"17","April",2000,"Shark","Ameiurus natalis",0.34449785,0.04921398
"18","December",2000,"Shark","Ameiurus natalis",1.53060926666667,0.218658465
"19","February",2000,"Shark","Ameiurus natalis",0.23727663,0.03389666
"20","July",2000,"Shark","Ameiurus natalis",0.44302153,0.06328879
"21","October",2000,"Shark","Ameiurus natalis",6.4912063125,0.9273151875
"22","December",2001,"Shark","Ameiurus natalis",0.1988262625,0.0284037525
"23","February",2001,"Shark","Ameiurus natalis",0.214299005,0.030614145
"24","September",2001,"Shark","Ameiurus natalis",0.00918712,0.00131245
"25","April",2002,"Shark","Ameiurus natalis",0.35737855,0.05105408
"26","December",2002,"Shark","Ameiurus natalis",1.242792394,0.17754177
"27","July",2002,"Shark","Ameiurus natalis",0.01224274,0.00174896
"28","October",2002,"Shark","Ameiurus natalis",1.51831851666667,0.216902646666667
"29","April",2003,"Shark","Ameiurus natalis",0.66608525,0.095155035
"30","December",2003,"Shark","Ameiurus natalis",4.061959555,0.580279935
"31","July",2003,"Shark","Ameiurus natalis",1.72583068,0.24654724
"32","October",2003,"Shark","Ameiurus natalis",0.10423009,0.0148900133333333
"33","April",2004,"Shark","Ameiurus natalis",7.91072106,1.13010301
"34","February",2004,"Shark","Ameiurus natalis",5.117916066,0.731130868
"35","July",2004,"Shark","Ameiurus natalis",6.06892981,0.86698997
"36","October",2004,"Shark","Ameiurus natalis",0.13668465,0.01952638
"37","April",2005,"Shark","Ameiurus natalis",0.54066695,0.10813339
"38","February",2005,"Shark","Ameiurus natalis",0.02438481,0.00348354
"39","October",1996,"Taylor","Ameiurus natalis",0.08039323,0.01148475
"40","April",1997,"Taylor","Ameiurus natalis",0.44412081,0.06344583
"41","February",1997,"Taylor","Ameiurus natalis",6.06892981,0.86698997
"42","April",1998,"Taylor","Ameiurus natalis",1.91236947,0.27319564
"43","February",1998,"Taylor","Ameiurus natalis",1.01331499,0.14475928
"44","April",1999,"Taylor","Ameiurus natalis",0.18449795,0.03689959
"45","December",2000,"Taylor","Ameiurus natalis",0.02059469,0.0029421
"46","October",2000,"Taylor","Ameiurus natalis",0.23739857,0.033914085
"47","February",2002,"Taylor","Ameiurus natalis",10.09488665,1.44212666
"48","July",2003,"Taylor","Ameiurus natalis",0.119181115,0.017025875
"49","October",2003,"Taylor","Ameiurus natalis",0.50949895,0.07278556
"50","March",2000,"Shark","Amia calva",0.02438867,0.32419949
"51","February",1999,"Shark","Astronotus ocellatus",-9999,-9999
"52","December",1997,"Shark","Belonesox belizanus",0.18842655,0.02691808
"53","February",1997,"Shark","Belonesox belizanus",0.65772719,0.09396103
"54","October",1997,"Shark","Belonesox belizanus",0.366594285,0.052370615
"55","April",1998,"Shark","Belonesox belizanus",0.913457405,0.130493915
"56","December",1998,"Shark","Belonesox belizanus",0.5814532,0.0830647433333333
