"","SpeciesName","CommonName","FunctionalGroup","Date","Month","Year","Area","SITENAME","FPO","Plot","TotalSpeciesWeight","NumofThrowTraps","SpeciesBiomass"
"1","Amia calva","Bowfin","piscivore","2000-03-01","March",2000,"Shark","Shark Slough_Site 37A","Fish","37A",0.02438867,7,0.32419949
"2","Astronotus ocellatus","Oscar","omnivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 37B","Fish","37B",-9999,7,-9999
"3","Clarias batrachus","Walking catfish","detrivore","1999-07-01","July",1999,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.02667394,7,0.00381056
"4","Clarias batrachus","Walking catfish","detrivore","1999-07-01","July",1999,"Shark","Shark Slough_Site 08A","Fish","08A",0.23696304,7,0.03385186
"5","Clarias batrachus","Walking catfish","detrivore","1996-07-01","July",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.1303085,7,0.0186155
"6","Clarias batrachus","Walking catfish","detrivore","1996-07-01","July",1996,"Shark","Shark Slough_Site 37B","Fish","37B",0.02137621,7,0.00305374
"7","Clarias batrachus","Walking catfish","detrivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.18315136,7,0.02616448
"8","Clarias batrachus","Walking catfish","detrivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site MDA","Fish","MDA",1.98166389,7,0.28309484
"9","Clarias batrachus","Walking catfish","detrivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.05379299,7,0.00768471
"10","Clarias batrachus","Walking catfish","detrivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.18901455,7,0.02700208
"11","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-12-01","December",1999,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.06913048,7,0.00987578
"12","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-12-01","December",1999,"Shark","Shark Slough_Site 37A","Fish","37A",0.02095601,7,0.00299372
"13","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-10-01","October",1999,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.50484579,7,0.07212083
"14","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.01750975,7,0.00250139
"15","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.0654212,7,0.00934589
"16","Cyprinodon variegatus","Sheepshed minnow","omnivore","1997-07-01","July",1997,"Taylor","Taylor Slough_Site MDA","Fish","MDA",0.03094043,7,0.00442006
"17","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-10-01","October",1999,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.10631377,7,0.01518768
"18","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.15113417,7,0.0215906
"19","Cyprinodon variegatus","Sheepshed minnow","omnivore","1997-10-01","October",1997,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.11937635,7,0.01705376
"20","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-12-01","December",1999,"Shark","Shark Slough_Site 08A","Fish","08A",0.02939222,7,0.00419889
"21","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-12-01","December",1999,"Shark","Shark Slough_Site 37B","Fish","37B",0.04416923,7,0.00630989
