Month,Year,Area,SpeciesName,TotalSpeciesWeight,SpeciesBiomass
April,1996,Shark,Poecilia latipinna,0.00321882,0.00045983
April,1996,Shark,Heterandria formosa,0.09380126,0.01340018
April,1996,Shark,Fundulus seminolis,0.11572255,0.01653179
April,1996,Shark,Fundulus chrysotus,0.24798278,0.03542611
April,1996,Shark,Erimyzon sucetta,0.25381263,0.03625895
April,1996,Shark,Gambusia holbrooki,0.28580319,0.04082903
April,1996,Shark,Notropis petersoni,0.41477421,0.05925346
April,1996,Shark,Lucania goodei,2.37447049,0.33921007
April,1996,Shark,Poecilia latipinna,0.16209399,0.02315628
April,1996,Shark,Jordanella floridae,0.24473794,0.03496256
April,1996,Shark,Heterandria formosa,0.55771586,0.07967369
April,1996,Shark,Fundulus chrysotus,0.56864005,0.08123429
April,1996,Shark,Gambusia holbrooki,0.7809705,0.11156721
April,1996,Shark,Lucania goodei,2.96114735,0.42302105
April,1996,Shark,Lepomis punctatus,5.85345603,0.836208
April,1996,Shark,Erimyzon sucetta,8.43066544,1.20438078
April,1996,Shark,Poecilia latipinna,0.03094141,0.0044202
April,1996,Shark,Fundulus chrysotus,0.15891689,0.02270241
April,1996,Shark,Jordanella floridae,0.17008749,0.02429821
April,1996,Shark,Heterandria formosa,0.20875528,0.02982218
April,1996,Shark,Gambusia holbrooki,0.50397415,0.07199631
April,1996,Shark,Erimyzon sucetta,0.81051064,0.11578723
April,1996,Shark,Lucania goodei,2.86690785,0.40955826
April,1996,Shark,Lepomis punctatus,6.92017371,0.98859624
April,1996,Shark,Erimyzon sucetta,0.09661435,0.01380205
April,1996,Shark,Poecilia latipinna,0.22359718,0.03194245
April,1996,Shark,Heterandria formosa,0.25507393,0.03643913
April,1996,Shark,Jordanella floridae,0.32752707,0.04678958
April,1996,Shark,Fundulus chrysotus,0.71202828,0.10171833
April,1996,Shark,Gambusia holbrooki,0.85859562,0.12265652
April,1996,Shark,Lepomis punctatus,1.31195449,0.18742207
April,1996,Shark,Lucania goodei,1.32498188,0.18928313
April,1996,Shark,Notropis petersoni,0.02295248,0.00327893
April,1996,Shark,Jordanella floridae,0.09736387,0.01390912
April,1996,Shark,Fundulus chrysotus,0.12437694,0.01776813
April,1996,Shark,Erimyzon sucetta,0.16482739,0.02354677
April,1996,Shark,Poecilia latipinna,0.17641956,0.02520279
April,1996,Shark,Heterandria formosa,0.25187051,0.0359815
April,1996,Shark,Gambusia holbrooki,0.61337347,0.08762478
April,1996,Shark,Lucania goodei,2.24900103,0.32128586
April,1996,Shark,Heterandria formosa,0.10944148,0.0156345
April,1996,Shark,Poecilia latipinna,0.11969221,0.01709889
April,1996,Shark,Jordanella floridae,0.28589645,0.04084235
April,1996,Shark,Notropis petersoni,0.30617181,0.04373883
April,1996,Shark,Gambusia holbrooki,0.50274486,0.07182069
April,1996,Shark,Fundulus chrysotus,0.93458644,0.13351235
April,1996,Shark,Lucania goodei,1.34225924,0.19175132
April,1996,Shark,Erimyzon sucetta,3.38753327,0.48393332
April,1996,Shark,Lepomis punctatus,10.37464752,1.4820925
April,1996,Shark,Notropis petersoni,0.02798055,0.00399722
April,1996,Shark,Enneacanthus gloriosus,0.0950882,0.01358403
April,1996,Shark,Jordanella floridae,0.1726955,0.02467079
April,1996,Shark,Poecilia latipinna,0.22455028,0.03207861
April,1996,Shark,Elassoma evergladei,0.25021863,0.03574552
April,1996,Shark,Fundulus chrysotus,1.04823327,0.14974761
April,1996,Shark,Heterandria formosa,1.16840692,0.16691527
April,1996,Shark,Gambusia holbrooki,1.30392146,0.18627449
April,1996,Shark,Lucania goodei,1.94961092,0.27851585
April,1996,Shark,Lepomis punctatus,1.96511697,0.280731
April,1996,Shark,Cichlasoma uropthalmus,2.21437217,0.31633888
April,1996,Shark,Erimyzon sucetta,5.28795804,0.75542258
April,1996,Shark,Ameriurus natalis,13.38834882,1.91262126
April,1996,Shark,Noturus gyrinus,0.14013534,0.02001933
