"","SpeciesName","CommonName","FunctionalGroup","Date","Month","Year","Area","FPO","SITENAME","Plot","TotalSpeciesWeight","NumofThrowTraps","SpeciesBiomass"
"1","Ameiurus natalis","Yellow bullhead","invertivore","2004-04-01","April",2004,"Shark","Fish","Shark Slough_Site 07C","07C",7.91072106,7,1.13010301
"2","Ameiurus natalis","Yellow bullhead","invertivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 07C","07C",0.02438481,7,0.00348354
"3","Ameiurus natalis","Yellow bullhead","invertivore","2005-04-01","April",2005,"Shark","Fish","Shark Slough_Site 06A","06A",0.54066695,5,0.10813339
"4","Ameiurus natalis","Yellow bullhead","invertivore","2004-07-01","July",2004,"Shark","Fish","Shark Slough_Site 06C","06C",6.06892981,7,0.86698997
"5","Ameiurus natalis","Yellow bullhead","invertivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 07A","07A",0.13668465,7,0.01952638
"6","Belonesox belizanus","Pike topminnow","piscivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 37B","37B",0.04917238,7,0.00702463
"7","Belonesox belizanus","Pike topminnow","piscivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 06B","06B",0.07622592,7,0.01088942
"8","Belonesox belizanus","Pike topminnow","piscivore","2004-12-01","December",2004,"Taylor","Fish","Taylor Slough_Site TSC","TSC",0.52847407,7,0.0754963
"9","Cichlasoma bimaculatum","Black acara","invertivore","2003-07-01","July",2003,"Shark","Fish","Shark Slough_Site 37C","37C",0.17746814,7,0.02535259
"10","Cichlasoma bimaculatum","Black acara","invertivore","2004-04-01","April",2004,"Shark","Fish","Shark Slough_Site 23B","23B",1.15439026,7,0.16491289
"11","Cichlasoma bimaculatum","Black acara","invertivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site TSC","TSC",0.44291928,7,0.01457245
"12","Cichlasoma bimaculatum","Black acara","invertivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.01152955,7,0.00164708
"13","Cichlasoma bimaculatum","Black acara","invertivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 23C","23C",1.01023575,7,0.14431939
"14","Cichlasoma bimaculatum","Black acara","invertivore","2004-04-01","April",2004,"Shark","Fish","Shark Slough_Site 23A","23A",3.08037849,7,0.44005407
"15","Cichlasoma bimaculatum","Black acara","invertivore","2003-07-01","July",2003,"Shark","Fish","Shark Slough_Site 23B","23B",0.03202146,7,0.00457449
"16","Cichlasoma bimaculatum","Black acara","invertivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 23B","23B",1.94436746,7,0.27776678
"17","Cichlasoma bimaculatum","Black acara","invertivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 23C","23C",0.60444261,7,0.08634894
"18","Cichlasoma bimaculatum","Black acara","invertivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 23C","23C",0.73462221,7,0.10494603
"19","Cichlasoma bimaculatum","Black acara","invertivore","2003-04-01","April",2003,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.01618735,5,0.00323747
"20","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.31772447,7,0.04538921
"21","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-12-01","December",2004,"Taylor","Fish","Taylor Slough_Site MDD","MDD",0.74945807,7,0.10706544
"22","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 50B","50B",0.28971159,7,0.04138737
"23","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Taylor","Fish","Taylor Slough_Site MDD","MDD",0.33906514,7,0.04843788
"24","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Taylor","Fish","Taylor Slough_Site TSC","TSC",0.05889755,7,0.00841394
"25","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 08A","08A",0.45055123,7,0.06436446
"26","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 08B","08B",1.06765473,7,0.1525221
"27","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2005-02-01","February",2005,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.26544949,5,0.0530899
"28","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 37A","37A",0.41034687,7,0.05862098
"29","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-12-01","December",2004,"Taylor","Fish","Taylor Slough_Site CPC","CPC",1.36064394,7,0.19437771
"30","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.19401029,7,0.02771576
"31","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 37B","37B",2.66820481,7,0.38117212
"32","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 50C","50C",0.09509466,7,0.01358495
"33","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-12-01","December",2004,"Taylor","Fish","Taylor Slough_Site TSB","TSB",1.19408759,7,0.17058394
"34","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 37C","37C",0.48879223,7,0.06982746
"35","Cichlasoma urophthalmus","Mayan cichlid","detrivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 07C","07C",0.36084145,7,0.05154878
"36","Clarias batrachus","Walking catfish","detrivore","2000-07-01","July",2000,"Shark","Fish","Shark Slough_Site 08A","08A",0.04741542,7,0.00677363
"37","Clarias batrachus","Walking catfish","detrivore","2000-07-01","July",2000,"Shark","Fish","Shark Slough_Site 37A","37A",0.03553271,7,0.0050761
"38","Clarias batrachus","Walking catfish","detrivore","2000-07-01","July",2000,"Shark","Fish","Shark Slough_Site 37B","37B",0.07865269,7,0.0112361
"39","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-12-01","December",2003,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.14892681,7,0.02127526
"40","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-04-01","April",2002,"Shark","Fish","Shark Slough_Site 37A","37A",0.05429817,5,0.00775688
"41","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-07-01","July",2001,"Shark","Fish","Shark Slough_Site 37C","37C",0.05787399,7,0.00826771
"42","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site MDB","MDB",0.23592974,7,0.03370425
"43","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-07-01","July",2002,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.13435164,7,0.01919309
