"","Month","Year","Area","SpeciesName","CommonName","ThermalGuild","TotalSpeciesWeight","SpeciesBiomass"
"1","April",1996,"Shark","Oreochromis aureus","Blue tilapia","cold",1.20126509,0.1716093
"2","July",1999,"Shark","Oreochromis aureus","Blue tilapia","cold",0.484394975,0.069199285
"3","October",2003,"Shark","Oreochromis aureus","Blue tilapia","cold",1.33676846,0.19096692
"4","October",2004,"Shark","Oreochromis aureus","Blue tilapia","cold",3.63494105,0.51927729
"5","December",2004,"Taylor","Oreochromis aureus","Blue tilapia","cold",0.74365116,0.10623588
"6","December",1998,"Shark","Trinectes maculatus","Hogchoker","cold",-9999,-9999
"7","October",1998,"Shark","Trinectes maculatus","Hogchoker","cold",-9999,-9999
"8","September",2001,"Shark","Trinectes maculatus","Hogchoker","cold",-9999,-9999
"9","April",1996,"Shark","Jordanella floridae","Flagfish","cool",0.41363509375,0.0590907275
"10","December",1996,"Shark","Jordanella floridae","Flagfish","cool",0.377788858888889,0.0539698377777778
"11","February",1996,"Shark","Jordanella floridae","Flagfish","cool",0.446455007777778,0.0637792866666667
"12","July",1996,"Shark","Jordanella floridae","Flagfish","cool",0.185576131111111,0.0265108755555556
"13","October",1996,"Shark","Jordanella floridae","Flagfish","cool",1.02645898333333,0.146636997777778
"14","April",1997,"Shark","Jordanella floridae","Flagfish","cool",0.501789668333333,0.0716842383333333
"15","December",1997,"Shark","Jordanella floridae","Flagfish","cool",1.34712230777778,0.192446043333333
"16","February",1997,"Shark","Jordanella floridae","Flagfish","cool",0.890967618888889,0.127281087777778
"17","July",1997,"Shark","Jordanella floridae","Flagfish","cool",0.704391186666667,0.100627311111111
"18","October",1997,"Shark","Jordanella floridae","Flagfish","cool",1.49830628333333,0.214043754444444
"19","April",1998,"Shark","Jordanella floridae","Flagfish","cool",1.00024177777778,0.142891682222222
"20","December",1998,"Shark","Jordanella floridae","Flagfish","cool",0.43300183375,0.06185740375
"21","February",1998,"Shark","Jordanella floridae","Flagfish","cool",1.43715139111111,0.20530734
"22","July",1998,"Shark","Jordanella floridae","Flagfish","cool",0.479789615555556,0.0685413733333333
"23","October",1998,"Shark","Jordanella floridae","Flagfish","cool",0.435232097777778,0.0621760144444444
"24","April",1999,"Shark","Jordanella floridae","Flagfish","cool",0.774572065714286,0.120279782857143
"25","December",1999,"Shark","Jordanella floridae","Flagfish","cool",0.512189432222222,0.0731699177777778
"26","February",1999,"Shark","Jordanella floridae","Flagfish","cool",0.669837103333333,0.0956910155555556
"27","July",1999,"Shark","Jordanella floridae","Flagfish","cool",0.326984295,0.04671204125
"28","October",1999,"Shark","Jordanella floridae","Flagfish","cool",0.67101922,0.0958598888888889
"29","April",2000,"Shark","Jordanella floridae","Flagfish","cool",1.06001489833333,0.151430701666667
"30","December",2000,"Shark","Jordanella floridae","Flagfish","cool",1.55133788,0.221619697777778
"31","February",2000,"Shark","Jordanella floridae","Flagfish","cool",0.732491865,0.10464169375
"32","July",2000,"Shark","Jordanella floridae","Flagfish","cool",0.37977146,0.0542530666666667
"33","October",2000,"Shark","Jordanella floridae","Flagfish","cool",1.39646907444444,0.199495583333333
"34","December",2001,"Shark","Jordanella floridae","Flagfish","cool",1.83962823666667,0.262804034444444
"35","February",2001,"Shark","Jordanella floridae","Flagfish","cool",2.67658551666667,0.38236936
"36","July",2001,"Shark","Jordanella floridae","Flagfish","cool",0.119091507777778,0.0170130733333333
"37","September",2001,"Shark","Jordanella floridae","Flagfish","cool",2.96142368555556,0.423060525555556
"38","April",2002,"Shark","Jordanella floridae","Flagfish","cool",6.30875306375,0.9012504375
"39","December",2002,"Shark","Jordanella floridae","Flagfish","cool",1.44986705962963,0.207123865185185
"40","July",2002,"Shark","Jordanella floridae","Flagfish","cool",0.723832328888889,0.103404617777778
"41","October",2002,"Shark","Jordanella floridae","Flagfish","cool",1.07480609941176,0.153543728235294
"42","April",2003,"Shark","Jordanella floridae","Flagfish","cool",0.900168066923077,0.129261821538462
"43","December",2003,"Shark","Jordanella floridae","Flagfish","cool",0.214819512307692,0.0306885015384615
"44","February",2003,"Shark","Jordanella floridae","Flagfish","cool",0.421308036923077,0.0650553115384615
"45","July",2003,"Shark","Jordanella floridae","Flagfish","cool",0.3829157725,0.0547022541666667
"46","October",2003,"Shark","Jordanella floridae","Flagfish","cool",0.40027313,0.0571818761538462
"47","April",2004,"Shark","Jordanella floridae","Flagfish","cool",0.08150335,0.0116433366666667
"48","February",2004,"Shark","Jordanella floridae","Flagfish","cool",0.246499885,0.035214269
"49","July",2004,"Shark","Jordanella floridae","Flagfish","cool",0.21283187,0.033211696
"50","October",2004,"Shark","Jordanella floridae","Flagfish","cool",0.543297217142857,0.0776138878571429
"51","April",2005,"Shark","Jordanella floridae","Flagfish","cool",0.11460494,0.0229209866666667
"52","February",2005,"Shark","Jordanella floridae","Flagfish","cool",0.463308357272727,0.06618691
"53","December",1996,"Taylor","Jordanella floridae","Flagfish","cool",0.563724730769231,0.0805321046153846
"54","July",1996,"Taylor","Jordanella floridae","Flagfish","cool",0.279646913846154,0.03994956
"55","May",1996,"Taylor","Jordanella floridae","Flagfish","cool",0.1968319,0.02811884
"56","October",1996,"Taylor","Jordanella floridae","Flagfish","cool",0.269575939090909,0.0385108481818182
"57","April",1997,"Taylor","Jordanella floridae","Flagfish","cool",0.637201641111111,0.0910288066666667
"58","December",1997,"Taylor","Jordanella floridae","Flagfish","cool",1.06151133307692,0.153432876153846
"59","February",1997,"Taylor","Jordanella floridae","Flagfish","cool",0.565902185454546,0.0808431672727273
"60","July",1997,"Taylor","Jordanella floridae","Flagfish","cool",0.943391014615385,0.13517056
"61","October",1997,"Taylor","Jordanella floridae","Flagfish","cool",1.26877054307692,0.181252936153846
"62","April",1998,"Taylor","Jordanella floridae","Flagfish","cool",0.669130247692308,0.09655295
"63","December",1998,"Taylor","Jordanella floridae","Flagfish","cool",0.662807641538462,0.0946868069230769
"64","February",1998,"Taylor","Jordanella floridae","Flagfish","cool",0.615362440769231,0.0881743684615385
"65","July",1998,"Taylor","Jordanella floridae","Flagfish","cool",0.30587718,0.0440922615384615
"66","October",1998,"Taylor","Jordanella floridae","Flagfish","cool",0.414033507692308,0.0591476438461538
"67","April",1999,"Taylor","Jordanella floridae","Flagfish","cool",1.0444510325,0.1874640775
"68","December",1999,"Taylor","Jordanella floridae","Flagfish","cool",0.369705027,0.052815004
"69","February",1999,"Taylor","Jordanella floridae","Flagfish","cool",0.607584485384615,0.0867977838461538
"70","July",1999,"Taylor","Jordanella floridae","Flagfish","cool",1.45786592307692,0.208266560769231
"71","October",1999,"Taylor","Jordanella floridae","Flagfish","cool",0.21811114,0.031158733
"72","April",2000,"Taylor","Jordanella floridae","Flagfish","cool",0.294652043333333,0.0420931483333333
"73","December",2000,"Taylor","Jordanella floridae","Flagfish","cool",0.708551003846154,0.101221571538462
"74","February",2000,"Taylor","Jordanella floridae","Flagfish","cool",0.442367624615385,0.0631953753846154
