Date,Area,SITENAME,NumofThrowTraps,Avg%PlantCover,AvgPlantHeight ,Avg%PeriphytonCover,AvgPeriphytonVolume,AvgWaterDepth,Comments
1996-02-07,Shark,Shark Slough_Site 37A,1,30,31,30,1400,52,
1996-02-07,Shark,Shark Slough_Site 37A,2,25,39,20,1200,48,
1996-02-07,Shark,Shark Slough_Site 37A,3,70,60,5,50,43,
1996-02-07,Shark,Shark Slough_Site 37A,4,50,40,30,2000,51,
1996-02-07,Shark,Shark Slough_Site 37A,5,40,35,20,1900,52,
1996-02-07,Shark,Shark Slough_Site 37A,6,15,29,70,4000,57,
1996-02-07,Shark,Shark Slough_Site 37A,7,20,28,80,4800,52,
1996-02-07,Shark,Shark Slough_Site 37B,1,20,54,15,1400,50,
1996-02-07,Shark,Shark Slough_Site 37B,2,60,43,20,1000,50,
1996-02-07,Shark,Shark Slough_Site 37B,3,20,33,20,2800,49,
1996-02-07,Shark,Shark Slough_Site 37B,4,50,22,10,1100,48,
1996-02-07,Taylor,Taylor Slough_Site CPA,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPA,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPB,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPB,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPB,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-07,Taylor,Taylor Slough_Site CPB,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Shark,Shark Slough_Site 07B,1,30,44,70,4400,54,
1996-02-08,Shark,Shark Slough_Site 07B,2,70,55,20,2200,50,
1996-02-08,Shark,Shark Slough_Site 07B,3,60,51,20,400,50,
1996-02-08,Shark,Shark Slough_Site 37B,5,60,61,1,100,49,
1996-02-08,Shark,Shark Slough_Site 37B,6,40,48,70,1400,47,
1996-02-08,Shark,Shark Slough_Site 37B,7,30,32,20,1700,56,
1996-02-08,Shark,Shark Slough_Site 37C,1,25,35,75,3900,51,
1996-02-08,Shark,Shark Slough_Site 37C,2,15,26,70,4000,53,
1996-02-08,Shark,Shark Slough_Site 37C,3,60,33,40,1100,49,
1996-02-08,Shark,Shark Slough_Site 37C,4,25,30,25,2000,50,
1996-02-08,Shark,Shark Slough_Site 37C,5,90,18,5,100,46,
1996-02-08,Shark,Shark Slough_Site 37C,6,20,33,10,1500,49,
1996-02-08,Shark,Shark Slough_Site 37C,7,70,28,20,1600,49,
1996-02-08,Taylor,Taylor Slough_Site CPB,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPB,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPB,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site CPC,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site MDA,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site MDA,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-08,Taylor,Taylor Slough_Site MDA,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Shark,Shark Slough_Site 07A,1,5,30,20,1300,59,
1996-02-09,Shark,Shark Slough_Site 07A,2,10,31,10,1100,57,
1996-02-09,Shark,Shark Slough_Site 07A,3,5,45,10,1400,57,
1996-02-09,Shark,Shark Slough_Site 07A,4,10,29,10,600,58,
1996-02-09,Shark,Shark Slough_Site 07A,5,5,25,40,2600,58,
1996-02-09,Shark,Shark Slough_Site 07A,6,1,21,5,300,60,
1996-02-09,Shark,Shark Slough_Site 07A,7,30,32,10,900,54,
1996-02-09,Shark,Shark Slough_Site 07B,4,15,38,20,1300,54,
1996-02-09,Shark,Shark Slough_Site 07B,5,5,42,10,1400,52,
1996-02-09,Shark,Shark Slough_Site 07B,6,20,39,20,1400,57,
1996-02-09,Shark,Shark Slough_Site 07B,7,50,33,10,1100,60,
1996-02-09,Shark,Shark Slough_Site 07C,1,60,40,50,3500,56,
1996-02-09,Shark,Shark Slough_Site 07C,2,60,45,60,2200,50,
1996-02-09,Shark,Shark Slough_Site 07C,3,70,45,20,1200,47,
1996-02-09,Shark,Shark Slough_Site 07C,4,5,23,60,4700,58,
1996-02-09,Shark,Shark Slough_Site 07C,5,15,22,70,2600,52,
1996-02-09,Shark,Shark Slough_Site 07C,6,5,33,70,4200,57,
1996-02-09,Shark,Shark Slough_Site 07C,7,10,28,60,3800,53,
1996-02-09,Taylor,Taylor Slough_Site MDA,4,-9999,-9999,-9999,-9999,-9999,NODATA
