Date,Year,SITE,LATDEC,LO-9999EC,DEPTH,BAY,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,APA,CHLA,TOC,SiO2,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH,Kd,TN_TP,N_P,DIN_TP,DSIGT,Si_DIN
15-01-1996,1996,Gunboat Isla-9999,25.3789,-81.0307,2.9,WWB,3.23,3.118,0.113,3.86,81.04,7.09,73.95,0.285,0.063,0.219,0.643,1573.333,-9999,1,1.1,16.3,16.2,7.6,7.6,1.5,-9999,-9999,284.3,113.4,24.9,-9999,-9999
15-01-1996,1996,Ponce de Leon Bay,25.3497,-81.1246,2.4,WWB,0.918,0.803,0.114,0.707,45.599,1.625,43.975,0.35,0.108,0.045,1.876,766.104,-9999,18.8,25.1,15.8,15.2,8.3,8.4,6.25,-9999,-9999,130.3,15.1,4.6,-9999,-9999
15-01-1996,1996,Tarpon Bay,25.4173,-80.9984,2.7,WWB,3.06,2.953,0.108,5.253,78.026,8.313,69.714,0.28,0.038,0.221,0.984,1524.375,-9999,0.7,0.9,16,16,7.7,7.8,0.85,-9999,-9999,278.7,221.7,29.7,-9999,-9999
16-01-1996,1996,Oyster Bay,25.3312,-81.0727,2.1,WWB,0.243,0.17,0.415,0.173,45.862,0.415,45.204,0.405,0.048,0.15,1.334,958.333,-9999,12.8,12.7,16.6,16.5,7.5,7.4,2.9,-9999,-9999,113.2,13.8,1.6,-9999,-9999
23-01-1996,1996,TS/Ph10,25.0247,-80.681,2.3,FB,0.28,0.24,0.04,0.228,72.018,0.508,71.51,0.413,0.105,3.283,3.611,1047.083,-9999,27.3,27.3,21.9,21.9,8.6,8.6,4.9,-9999,-9999,174.6,4.8,1.2,0,-9999
23-01-1996,1996,TS/Ph11,24.9129,-80.938,3.1,FB,0.115,0.068,0.048,0.473,13.197,0.588,12.61,0.403,0,0.048,0.926,353.896,-9999,30.4,30.4,19.9,19.9,7.8,7.9,11.6,-9999,-9999,32.8,-9999,1.5,0,-9999
24-01-1996,1996,Joe Bay,25.2245,-80.5366,1.4,FB,0.663,0.648,0.015,0.43,62.48,1.093,61.388,0.558,0.095,1.083,1.904,1006.458,-9999,7.1,7.1,22.2,22.2,5.5,5.6,5.8,-9999,-9999,112.1,11.5,2,-9999,-9999
24-01-1996,1996,Little Madeira Bay,25.1752,-80.6269,1.6,FB,1.243,1.213,0.03,1.813,50.973,3.055,47.918,0.335,0.043,0.261,0.438,772.125,-9999,13.3,13.4,22.2,21.8,7.9,7.9,14.85,-9999,-9999,152.2,71.9,9.1,-9999,-9999
24-01-1996,1996,TS/Ph9,25.1771,-80.4916,1.7,FB,1.56,1.365,0.195,5.54,52.517,7.1,45.417,0.273,0.143,0.481,0.626,707,-9999,17.2,17.2,21.8,21.8,6.7,6.2,30.15,-9999,-9999,192.7,49.8,26.1,0,-9999
05-02-1996,1996,Oyster Bay,25.3312,-81.0727,2.1,WWB,0.25,0.11,0.14,0.415,44.367,0.665,43.702,1.07,0.095,0.529,2.302,914.583,-9999,17.6,17.9,15.7,15.7,8.1,8.2,20.35,-9999,-9999,41.5,7,0.6,-9999,-9999
