Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
January,1996,Shark,2.9,3.23,3.118,0.113,3.86,81.04,7.09,73.95,0.285,0.063,0.643,1573.333,1,1.1,16.3,16.2,7.6,7.6,1.5,-9999
February,1997,Shark,2.9,2.495,2.265,0.23,0.6,58.151,3.095,55.056,0.343,0.013,1.072,1295.208,17.9,18,25.6,25.6,4.5,4.6,2,-9999
January,2005,Shark,2.9,3.602,3.022,0.58,3.073,30.435,6.674,23.761,0.528,0.109,1.926,1459.375,10.65,16.47,18.58,18.15,7.02,7.05,1.3,7.5
March,2000,Shark,2.9,2.715,2.609,0.106,0.607,33.625,3.322,30.303,0.482,0.083,3.371,1110.417,13.8,14.2,24.2,23.9,8.1,8.1,2.07,-9999
October,2002,Shark,2.9,0.831,0.698,0.133,0.685,83.576,1.516,82.061,0.387,0.013,0.526,1219.167,0.98,1.01,29.05,29.02,3.91,3.82,1.6,7.54
July,2003,Shark,2.9,1.052,0.783,0.269,1.12,35.191,2.172,33.019,0.384,0.066,1.149,1032.083,8.51,8.68,30.74,30.68,3.15,2.8,0.98,7.37
July,1997,Shark,2.9,2.065,1.84,0.225,0.958,46.454,3.023,43.432,0.43,0.053,2.538,1242.292,2,2,29.6,29.6,2.6,2.7,1.18,-9999
June,1999,Shark,2.9,3.173,2.555,0.618,1.383,55.851,4.555,51.296,0.505,0.198,2.11,1109.375,15.8,15.9,29.8,29.8,2,1.9,1.45,-9999
December,2000,Shark,2.9,2.943,2.646,0.297,0.843,27.126,3.785,23.341,0.493,0.118,0.958,1205.417,11.4,11.6,24,23.8,4.2,3.9,3.27,-9999
December,2003,Shark,2.9,1.884,1.737,0.147,0.928,40.6,2.812,37.788,0.393,0.035,2.063,1412.708,2.88,2.89,20.14,20.12,4.96,5.14,2.69,7.6
February,1996,Shark,2.9,3.425,3.238,0.188,1.65,90.341,5.075,85.266,0.51,0.018,1.738,1692.292,2.3,2.3,16.5,16.5,8.3,8.4,4.15,-9999
February,2005,Shark,2.9,5.034,4.488,0.546,1.819,32.015,6.853,25.162,0.457,0.058,0.68,1430.833,9.25,10.86,20.42,20.23,6.56,6.65,1.07,7.37
October,2001,Shark,2.9,1.07,0.94,0.13,0.393,29.244,1.463,27.782,0.243,0.045,1.047,1147.083,1.1,1.4,26.9,26.7,5.9,5.9,1.24,-9999
November,2002,Shark,2.9,1.585,1.46,0.125,1.042,45.609,2.626,42.982,0.315,0.07,1.058,1320.417,1.9,2.15,19.5,19.26,5.72,5.38,1.93,7.25
October,2004,Shark,2.9,0.946,0.737,0.209,1.479,28.571,2.425,26.146,0.313,0.072,1.582,1072.708,2.38,3.32,28.55,28.52,6.9,7.11,2.19,7.29
May,1998,Shark,2.9,1.318,0.96,0.358,0.988,38.097,2.305,35.792,0.188,0.1,2.254,858.958,26.2,26.5,30.2,30.1,2.2,2,2,-9999
July,1999,Shark,2.9,1.35,1.128,0.223,0.873,43.411,2.223,41.188,0.563,0.013,2.399,975,15.9,15.9,31.9,31.9,2.4,2.3,0.75,-9999
September,2000,Shark,2.9,1.794,1.582,0.212,0.305,33.439,2.099,31.34,0.518,0.199,0.485,1271.042,7.4,7.4,31.1,31.2,5.3,5.3,0.76,-9999
January,2004,Shark,2.9,2.402,2.367,0.036,1.594,53.845,3.996,49.849,0.219,0.031,2.049,1451.25,2.73,2.9,20.37,20.29,4.83,4.86,1.04,7.69
March,1996,Shark,2.9,3.593,3.293,0.3,1.62,91.637,5.213,86.424,0.833,0.08,1.02,1791.667,5.5,5.5,21.9,21.9,7.7,7.7,7.65,-9999
August,1999,Shark,2.9,0.845,0.618,0.228,1.263,63.428,2.108,61.321,0.41,0.018,2.323,1370,2,2.1,30.4,30.4,6.3,6.5,0.93,-9999
November,2001,Shark,2.9,1.381,1.274,0.107,1.425,37.285,2.806,34.479,0.518,0.038,0.607,1178.75,0.9,0.9,22.3,22.3,7.7,7.7,0.79,-9999
December,2002,Shark,2.9,3.047,2.877,0.17,1.507,22.777,4.554,18.223,0.331,0,1.375,1064.375,1.76,1.74,20.6,20.59,5.25,4.95,1.36,7.69
May,1997,Shark,2.9,3.055,2.488,0.568,1.188,52.948,4.243,48.706,0.668,0.14,2.566,1004.792,29.5,29.5,30,30,5.8,5.8,1.3,-9999
June,1998,Shark,2.9,0.64,0.425,0.215,0.923,53.748,1.563,52.186,0.698,0.09,4.733,1271.667,15.9,17.1,32.9,32.3,4.8,4,0.7,-9999
October,2000,Shark,2.9,0.484,0.408,0.076,0.608,25.599,1.092,24.507,0.28,0.015,0.588,600.146,0.1,0.1,27.4,27.4,7,7,0.49,-9999
January,2003,Shark,2.9,4.885,4.713,0.172,1.55,64.212,6.435,57.777,0.205,0.033,0.723,1189.167,6.07,6.42,17.56,17.44,7.85,7.74,1.13,7.54
April,1996,Shark,2.9,1.095,0.873,0.223,0.4,42.432,1.495,40.937,0.485,0.16,2.012,848.125,25,25,26.8,26.8,7.1,7.1,4.3,-9999
July,1998,Shark,2.9,1.42,1.135,0.285,0.76,45.759,2.18,43.579,0.683,0.108,1.953,972.708,22.3,22.7,32.2,32.2,5.7,5.9,0.95,-9999
February,1998,Shark,2.9,2.218,2.01,0.208,0.5,52.816,2.718,50.098,0.465,0.067,1.707,1118.958,6.4,7.2,22.7,22.6,4.6,4.7,4.6,-9999
