REGION,Site_ID,Replicate,SampleType,SDI,SAMID,Date,Time,Water_Depth,Water_Temperature,WPH,WPH_Notes,CDEP,SPH,SH2O,ASH,OM,FBD,FBGTPs,TP,TC,TN,SRECTPs,FBGTPw,SRECTPw
NESS,7,-1,#NAME?,-9999,NESS07-1-SF,2006-09-11,9:00,-9999,-9999,-9999,,3,7.39,95.42,72.91,27.09,0.03,126.74,0.12,-9999,-9999,-9999,-9999,-9999
NESS,7,-1,#NAME?,0-2,NESS07-1-SS-0-2,2006-09-11,9:00,-9999,-9999,-9999,,2,7.46,90.84,73.85,26.15,0.13,115.08,0.29,194.2,11.7,177.23,-9999,-9999
NESS,7,-1,#NAME?,10-Feb,NESS07-1-SS-2-10,2006-09-11,9:00,-9999,-9999,-9999,,6.7,7.44,79.37,86.66,13.34,0.25,62.83,1.04,164.5,7,-9999,-9999,-9999
NESS,7,-1,#NAME?,20-Oct,NESS07-1-SS-10-20,2006-09-11,9:00,-9999,-9999,-9999,,10,7.45,57.23,93.73,6.27,0.56,143.05,8.04,147.2,4.1,-9999,-9999,-9999
NESS,7,-2,#NAME?,0-2,NESS07-2-SS-0-2,2006-09-11,9:35,-9999,-9999,-9999,,2,7.24,91.75,61.83,38.17,0.09,135.44,0.24,-9999,-9999,-9999,-9999,-9999
NESS,7,-2,#NAME?,0-10,NESS07-2-SS-0-10,2006-09-11,9:35,-9999,-9999,-9999,,10,7.26,85.17,78.7,21.3,0.14,81.69,1.18,-9999,-9999,-9999,-9999,-9999
NESS,7,-2,#NAME?,0-20,NESS07-2-SS-0-20,2006-09-11,9:35,-9999,-9999,-9999,,20,7.35,67.09,91.14,8.86,0.32,75.89,4.88,-9999,-9999,-9999,-9999,-9999
NESS,8,-1,#NAME?,-9999,NESS08-1-BP,2006-09-11,10:38,-9999,-9999,-9999,,0.5,-9999,91.29,69.28,30.72,-9999,89.75,0.05,-9999,-9999,-9999,-9999,-9999
NESS,8,-1,#NAME?,0-2,NESS08-1-SS-0-2,2006-09-11,10:38,-9999,-9999,-9999,,2,7.45,89.52,80.17,19.83,0.1,116.3,0.23,-9999,-9999,-9999,-9999,-9999
NESS,8,-1,#NAME?,10-Feb,NESS08-1-SS-2-10,2006-09-11,10:38,-9999,-9999,-9999,,8,7.37,82.53,83.83,16.17,0.12,45.47,0.44,-9999,-9999,-9999,-9999,-9999
NESS,8,-1,#NAME?,20-Oct,NESS08-1-SS-10-20,2006-09-11,10:38,-9999,-9999,-9999,,10,7.65,56.26,94.39,5.61,0.6,81.94,4.89,-9999,-9999,-9999,-9999,-9999
NESS,8,-2,#NAME?,-9999,NESS08-2-BP,2006-09-11,11:23,-9999,-9999,-9999,,0.6,-9999,90.77,65.66,34.34,0.12,81.36,0.06,-9999,-9999,-9999,-9999,-9999
NESS,8,-2,#NAME?,0-2,NESS08-2-SS-0-2,2006-09-11,11:23,-9999,-9999,-9999,,2,7.52,90.49,77.9,22.1,0.08,102.11,0.16,-9999,-9999,-9999,-9999,-9999
NESS,8,-2,#NAME?,10-Feb,NESS08-2-SS-2-10,2006-09-11,11:23,-9999,-9999,-9999,,8,7.57,84.2,84.62,15.38,0.14,170.46,1.96,-9999,-9999,-9999,-9999,-9999
