Month,Year,Area,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH,SpeciesRichness
April,1996,Shark,73.24659846,10.46379977,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA,17
April,1997,Shark,9.43301502,1.367149963,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA,11
April,1997,Taylor,5.750552501,0.821507491,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA,16
April,1998,Shark,25.57010534,3.652872203,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA,15
April,1998,Taylor,34.56511988,5.360939325,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA,18
April,1999,Shark,84.97747989,12.24865316,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA,15
April,1999,Taylor,9.272686808,1.509188023,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA,12
April,2000,Shark,10.40503132,1.486433047,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA,13
April,2000,Taylor,5.672388821,0.816476438,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA,12
April,2001,Shark,2.56093181,0.49124016,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA,6
April,2001,Taylor,4.02055137,1.196122315,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA,8
April,2002,Shark,12.32419973,1.760599967,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA,13
April,2002,Taylor,19.82340259,2.831914645,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA,16
April,2003,Shark,27.25287465,3.920802341,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333,18
April,2003,Taylor,1.940890358,0.388178085,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667,12
April,2004,Shark,22.22717171,3.175310247,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85,18
April,2004,Taylor,12.70683955,2.541367903,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333,16
April,2005,Taylor,0.905776712,0.18115534,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226,6
December,1996,Taylor,4.806828314,0.686689751,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA,13
December,1997,Shark,16.74858119,2.392654456,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA,14
December,1997,Taylor,5.00433727,0.72834084,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA,16
December,1998,Shark,16.020062,2.288580291,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA,16
December,1998,Taylor,17.55886078,2.508408692,2.083333333,2.207333333,1.962833333,0.244666667,2.665,42.8065,4.872,37.93483333,0.468833333,0.066,0.973166667,636.9721667,21.76666667,22.5,24.63333333,24.8,7,7.966666667,3.551666667,NA,15
