Month,Year,Area,SpeciesName,CommonName,FunctionalGroup,TotalSpeciesWeight,SpeciesBiomass,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
April,1996,Shark,Poecilia latipinna,Sailfin molly,algivore,0.215205201,0.030743598,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Ameiurus natalis,Yellow bullhead,invertivore,6.842219855,0.97745998,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Gambusia holbrooki,Eastern mosquitofish,invertivore,0.843783697,0.120540527,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Lepomis punctatus,Spotted sunfish,invertivore,4.304198203,0.614885457,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Lepisosteus platyrhinchus,Florida gar,piscivore,51.22258258,7.3175118,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Noturus gyrinus,Tadpole madtom,invertivore,0.14013534,0.02001933,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Cichlasoma urophthalmus,Mayan cichlid,detrivore,1.436952895,0.205278985,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Fundulus seminolis,Seminole killifish,invertivore,0.11572255,0.01653179,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Jordanella floridae,Flagfish,invertivore,0.413635094,0.059090728,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Fundulus chrysotus,Golden topminnow,invertivore,0.587979047,0.083997006,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
