Month,Year,Area,ThermalGuild,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH
April,1996,Shark,cool,5.305812343,0.75797319,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,warm,11.71954012,1.674220017,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,cool/warm,55.01998091,7.859997264,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,cold,1.20126509,0.1716093,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1997,Shark,warm,3.921006104,0.561880997,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,cool/warm,2.494368959,0.360570746,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,cool,3.017639957,0.44469822,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Taylor,cool/warm,2.883984199,0.411997741,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,cool,1.565242522,0.223606077,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,warm,1.301325781,0.185903673,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1998,Shark,cool,8.001605467,1.143086497,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,cool/warm,3.729450412,0.532778635,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,warm,13.83904946,1.977007071,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
