Month,Year,Area,Avg.PlantCover,AvgPlantHeight,Avg.PeriphytonCover,AvgPeriphytonVolume,AvgWaterDepth,FunctionalGroup,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,piscivore,51.22258258,7.3175118,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,algivore,0.215205201,0.030743598,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,invertivore,16.5335787,2.361939804,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,omnivore,2.241884876,0.320269268,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,detrivore,2.638217985,0.376888285,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,24.96031746,34.07539683,37.25396825,2930.952381,25.55555556,planktivore,0.395129113,0.056447017,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1997,Shark,26.08,30.13,32.51,1641.75,18.91,algivore,0.779387546,0.112373149,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,26.08,30.13,32.51,1641.75,18.91,planktivore,0.13611693,0.01944528,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,26.08,30.13,32.51,1641.75,18.91,omnivore,1.123229601,0.161723659,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,26.08,30.13,32.51,1641.75,18.91,invertivore,7.394280943,1.073607875,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Taylor,15.11904762,27.47619048,36.9047619,3021.428571,25.72619048,invertivore,4.272886597,0.610412366,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,15.11904762,27.47619048,36.9047619,3021.428571,25.72619048,algivore,0.024641475,0.00352021,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,15.11904762,27.47619048,36.9047619,3021.428571,25.72619048,planktivore,0.331422407,0.047346054,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,15.11904762,27.47619048,36.9047619,3021.428571,25.72619048,omnivore,1.121602022,0.160228861,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1998,Shark,37.76190476,28.76666667,38.91428571,3069.047619,47.14285714,detrivore,3.21378113,0.45911159,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,37.76190476,28.76666667,38.91428571,3069.047619,47.14285714,piscivore,0.913457405,0.130493915,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,37.76190476,28.76666667,38.91428571,3069.047619,47.14285714,omnivore,1.180332932,0.168618991,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,37.76190476,28.76666667,38.91428571,3069.047619,47.14285714,invertivore,18.55407642,2.650582358,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
