SpeciesName,CommonName,FunctionalGroup,ThermalGuild
Ameiurus natalis,Yellow bullhead,invertivore,
Ameiurus nebulosus,Brown bullhead,invertivore,
Amia calva,Bowfin,piscivore,
Astronotus ocellatus,Oscar,omnivore,
Belonesox belizanus,Pike topminnow,piscivore,
Cichlasoma bimaculatum,Black acara,invertivore,
Cichlasoma urophthalmus,Mayan cichlid,detrivore,
Clarias batrachus,Walking catfish,detrivore,
Cyprinodon variegatus,Sheepshed minnow,omnivore,
Elassoma evergladei,Everglades pygmy sunfish,invertivore,
Enneacanthus gloriosus,Blue spotted sunfish,planktivore,
Erimyzon sucetta,Lake chubsucker,invertivore,
Esox americanus,American pickerel,piscivore,
Esox niger,Chain pickerel,piscivore,
Fundulus chrysotus,Golden topminnow,invertivore,
Fundulus confluentus,Marsh killifish,invertivore,
Fundulus seminolis,Seminole killifish,invertivore,
Fundulus similis,Longnose killifish,invertivore,
Gambusia holbrooki,Eastern mosquitofish,invertivore,
Hemichromis bimaculatus,African jewelfish,piscivore,warm
Heterandria formosa,Least killifish,invertivore,cool/warm
Jordanella floridae,Flagfish,invertivore,cool
Labidesthes sicculus,Brook silverside,planktivore,warm
Lepisosteus platyrhinchus,Florida gar,piscivore,cool/warm
Lepomis gulosus,Warmouth,piscivore,warm
Lepomis macrochirus,Bluegill sunfish,invertivore,warm
Lepomis marginatus,Dollar sunfish,invertivore,cool/warm
Lepomis microlophus,Redear sunfish,invertivore,warm
Lepomis punctatus,Spotted sunfish,invertivore,cool
Lucania goodei,Bluefin killifish,omnivore,cool/warm
Menidia beryllina,Inland silverside,planktivore,cool
Micropterus salmoides,Largemouth bass,piscivore,warm
Notemigonus crysoleucas,Golden shiner,algivore,warm
Notropis petersoni,Coastal shiner,planktivore,warm
Noturus gyrinus,Tadpole madtom,invertivore,cool/warm
Oreochromis aureus,Blue tilapia,detrivore,cold
Poecilia latipinna,Sailfin molly,algivore,cool/warm
Trinectes maculatus,Hogchoker,invertivore,cold
