SpeciesName,CommonName,FunctionalGroup
Ameiurus natalis,Yellow bullhead,invertivore
Ameiurus nebulosus,Brown bullhead,invertivore
Amia calva,Bowfin,piscivore
Astronotus ocellatus,Oscar,omnivore
Belonesox belizanus,Pike topminnow,piscivore
Cichlasoma bimaculatum,Black acara,invertivore
Cichlasoma urophthalmus,Mayan cichlid,detrivore
Clarias batrachus,Walking catfish,detrivore
Cyprinodon variegatus,Sheepshed minnow,omnivore
Elassoma evergladei,Everglades pygmy sunfish,invertivore
Enneacanthus gloriosus,Blue spotted sunfish,planktivore
Erimyzon sucetta,Lake chubsucker,invertivore
Esox americanus,American pickerel,piscivore
Esox niger,Chain pickerel,piscivore
Fundulus chrysotus,Golden topminnow,invertivore
Fundulus confluentus,Marsh killifish,invertivore
Fundulus seminolis,Seminole killifish,invertivore
Fundulus similis,Longnose killifish,invertivore
Gambusia holbrooki,Eastern mosquitofish,invertivore
Hemichromis bimaculatus,African jewelfish,piscivore
Heterandria formosa,Least killifish,invertivore
Jordanella floridae,Flagfish,invertivore
Labidesthes sicculus,Brook silverside,planktivore
Lepisosteus platyrhinchus,Florida gar,piscivore
Lepomis gulosus,Warmouth,piscivore
Lepomis macrochirus,Bluegill sunfish,invertivore
Lepomis marginatus,Dollar sunfish,invertivore
Lepomis microlophus,Redear sunfish,invertivore
Lepomis punctatus,Spotted sunfish,invertivore
Lucania goodei,Bluefin killifish,omnivore
Menidia beryllina,Inland silverside,planktivore
Micropterus salmoides,Largemouth bass,piscivore
Notemigonus crysoleucas,Golden shiner,algivore
Notropis petersoni,Coastal shiner,planktivore
Noturus gyrinus,Tadpole madtom,invertivore
Oreochromis aureus,Blue tilapia,detrivore
Poecilia latipinna,Sailfin molly,algivore
Trinectes maculatus,Hogchoker,invertivore
,,
